artista,genero,anio,similares,bio,listeners,playcount
God Forbid,metal,2023,"Shadows Fall, Unearth, Diecast","God Forbid is the name of more than one artist:
1. Melodic metalcore band
2. Ambient electronic

1) God Forbid was a melodic metalcore band from New Brunswick, New Jersey that was formed in 1998. Their style is different than the styles presented by other, popular metalcore bands: God Forbid's influences are deep-rooted in thrash metal. Building up a following in the late 1990s by touring with bands such as Cradle of Filth, Nile, and Candiria, their first full album Reject the Sickness was released by 9 Volt Records in 1999. <a href=""https://www.last.fm/music/God+Forbid"">Read more on Last.fm</a>",200868,2975391
Turbo,metal,2020,"Kat, TSA, Hunter","There are multiple artists using this name:

1. Turbo is a Polish metal band. It was started in January 1980 by Henryk Tomczak (formerly in Stress and Heam, both pioneering Polish hard rock groups). The first line-up were formed by Wojciech Hoffmann – guitar, Wojciech Anioła – drums and Wojciech Sowula – vocals. Soon a single was released, the tracks being W środku tej nocy (Deep in the Night) and Byłem z tobą tyle lat (So many years with you). <a href=""https://www.last.fm/music/Turbo"">Read more on Last.fm</a>",265619,5190554
Breed77,metal,2021,"Soil, Nonpoint, Dry Kill Logic","Playing a fusion of alternative metal and flamenco, this London-based quintet, originally from Gibraltar, have built up a loyal following through their live shows.

The band consists of Paul Isola (vocals, percussion), Danny Felice (guitars), Pedro Caparros (guitars), Stuart Cavilla (5-string bass) and Andre Joyzi (drums).

In 1998, Kerrang! readers voted Breed 77 the 'Best Unsigned Band'. In 1999, they won both the Metal Hammer and Kerrang! awards for the best new band. <a href=""https://www.last.fm/music/Breed77"">Read more on Last.fm</a>",34041,517676
Pitchshifter,metal,2022,"Gravity Kills, Chemlab, 16volt","Pitchshifter is a British industrial rock/metal band originally hailing from Nottingham. 

The band was formed in 1989 by bassist Mark Clayden with guitarist and programmer Johnny Carter, later joined by vocalist JS Clayden and Stuart Toolin. During this time, the band played with local bands and soon gained attention of the Peaceville Records. During this time, JS went to live in France to sell paintings.

During 1990, the band started recording their début album <a href=""https://www.last.fm/music/Pitchshifter"">Read more on Last.fm</a>",182224,3208123
Times of Grace,metal,2023,"Killswitch Engage, Light the Torch, Devil You Know","Times of Grace is an American metalcore duo, formed in 2008 in Southampton, Massachusetts. The group consists of Adam Dutkiewicz (Killswitch Engage) and Jesse Leach (Killswitch Engage, The Empire Shall Fall and Seemless) while guitarist Joel Stroetzel (Killswitch Engage), bassist Matt Bachand (rhythm guitarist in Shadows Fall), drummer Dan Gluszak (formerly of Envy on the Coast) complete the touring lineup.

An album was planned for 2009. However <a href=""https://www.last.fm/music/Times+of+Grace"">Read more on Last.fm</a>",90419,3392538
Maj Karma,metal,2020,"Kotiteollisuus, CMX, Mokoma","Maj Karma (formerly Maij' Karman Kauniit Kuvat and Maj Karman Kauniit Kuvat) was a Finnish rock / metal band formed in 1992 in Harjavalta, Finland. Their latest line-up was: Herra Ylppö (vocals and lyrics), Häiriö Piirinen (guitar), Janne Savolainen (drums) and Kimmo Kurittu (bass guitar, since 2004). Former members include  V.V.V. (bass, 1992-2004),  Junnu ja Kummitusjuna (bass, 1992) and the rather mysterious Kanttori a.k.a. Paska Väyrynen (lights and extra limbs, 1996-2000). <a href=""https://www.last.fm/music/Maj+Karma"">Read more on Last.fm</a>",63903,2866618
Sever,metal,2021,"Kingdom Collapse, True North, Lakeshore","There is more than 1 band by this name:

1) Sever is a black metal project of Blake Judd (Nachtmystium).

2) SeVeR, based out of Pennsylvania formed in 2003 and quickly became one of the premier heavy metal bands in the state. Evolving into what it is today, consisting of some of the top musicians from Pennsylvania, Virginia, New Jersey and Florida coming together to create a unique sound that is described as an assault of abrasive, yet melodic harmonies that takes listeners on an epic journey to a destination that only time will reveal. <a href=""https://www.last.fm/music/Sever"">Read more on Last.fm</a>",23743,247219
Electric Callboy,metal,2022,"To the Rats and Wolves, Samurai Pizza Cats, BABYMETAL, Electric Callboy","Electric Callboy (formerly known as Eskimo Callboy) is a German metalcore/electronicore band formed in Castrop-Rauxel in 2010. The band consists of former lead singer of To the Rats and WolvesNico Sallach, who replaced longtime lead singer Sebastian ""Sushi"" Biesler who left the band in early 2020. The rest of the band includes vocalist and keyboardist Kevin Ratajczak, the guitarists Daniel Haniß and Pascal Schillo, bassist Daniel Klossek and drummer David Friedrich. <a href=""https://www.last.fm/music/Electric+Callboy"">Read more on Last.fm</a>",269328,16242463
GatoPaint,metal,2023,"Jeff Burgess, SlyphStorm, Andrew Stein"," <a href=""https://www.last.fm/music/GatoPaint"">Read more on Last.fm</a>",10519,95170
Akuma,metal,2020,"Mortel, Bora, Sebo","There are several bands named Akuma:

1. Australian Death Metal.
One album: ""Shrouds of the Final Nothing"" (2007)

2. French Melodic Death Metal.
One E.P.: ""Under a Killing Moon"" (2009)

3. Canadian Hardcore/Punk.
… Des Cendres et du désespoir

Issu d’une fin de siècle, Akuma perpétue un rock de combat en marge d’une culture prête à consommer. Safwan (chant, guitare), Sylva (batterie), Yannick (guitare) et Sébastien (basse) prennent le maquis de l’autonomie pour une action terrorock revendiquée. <a href=""https://www.last.fm/music/Akuma"">Read more on Last.fm</a>",17215,221529
電気式華憐音楽集団,metal,2021,"妖精帝國, Yousei Teikoku, Asriel","Denkishiki Karen Ongaku Shuudan (電気式華憐音楽集団, ""Electronic-Style Karen Music Group"") or Denkare is a band created on the year 2001, which is formed by members:

- Denki (Lyricist, Composer)
- Karen (Vocalist, Lyricist)
- Shiki (Guitar)
- Dang (Chorus)

 They produce music for the visual novels of Black CYC. Their music varies but includes neoclassical / gothic metal.

Karen has been speculated to be 妖精帝國's vocalist, Fairy YUI, due to similarities in range and sound, as well as sharing the same birthday.  <a href=""https://www.last.fm/music/%E9%9B%BB%E6%B0%97%E5%BC%8F%E8%8F%AF%E6%86%90%E9%9F%B3%E6%A5%BD%E9%9B%86%E5%9B%A3"">Read more on Last.fm</a>",6209,917072
Earshot,metal,2022,"Cold, Evans Blue, Submersed","Earshot is an American nu metal/alternative metal band from Los Angeles, California, formed in 1999. The band has released three albums: Letting Go, Two, The Silver Lining, and a 5 song Mini-LP entitled ""Aftermath"".

Looking beyond the status quo of the modern rock music of today, EARSHOT’s third studio album, slated for release August 2008, marks the start of what some believe is sure to be the beginning of a new and changing modern rock world of tomorrow. <a href=""https://www.last.fm/music/Earshot"">Read more on Last.fm</a>",452483,5093309
Blade and Bath,metal,2023,"DECALIUS, Made of Pain, Wounded Masquerade","Blade and Bath is an ukranian one man Depressive Suicidal Black Metal band formed in 2021 by Denis Nidzelskiy. <a href=""https://www.last.fm/music/Blade+and+Bath"">Read more on Last.fm</a>",50735,1121945
Bobaflex,metal,2020,"Bullets and Octane, Nonpoint, Soil","Bobaflex is an American hard rock band from Point Pleasant, West Virginia. They were part of Gigantour in 2005 and Rock on the Range in 2008. Formed in 1998 with current members Dave Tipple, Jerod Mankin, Shaun McCoy, Tommy Johnson and Marty McCoy

Bobaflex is an odd beast, a bracing mix of heavy riffage, hip-hop-inspired beats and alternately growling and soaring vocals. There are four singers in the band, so the angle of attack constantly shifts <a href=""https://www.last.fm/music/Bobaflex"">Read more on Last.fm</a>",86294,1057460
Before the Dawn,metal,2021,"Wolfheart, Dark the Suns, Bloodred Hourglass","Before The Dawn is a Melodic Death/Gothic Metal band that saw daylight in 1999 as a solo project by Tuomas Saukkonen. The first line-up was gathered so that the band would be able to perform live. With many changes inside the band, they entered the studio to record an MCD called Gehenna. After two albums (My Darkness and 4.17 am) and numerous changes in the line-up, Tuomas gathered an entirely new line-up in 2005 and went on to record the album The Ghost. <a href=""https://www.last.fm/music/Before+the+Dawn"">Read more on Last.fm</a>",148820,9716260
Anvil,metal,2022,"Metal Church, Tokyo Blade, Armored Saint","There is more than one artist using the name Anvil:

1)  Anvil is a Canadian heavy metal band who has influenced many musical groups including Slayer and Metallica. The band's history is chronicled in the 2009 documentary Anvil! The Story of Anvil.

2) Anvil is a1970s German heavy prog psych band.

--==--

1) - The roots of Anvil began in April 1973 in Toronto, when high school friends Steve ""Lips"" Kudlow and Robb Reiner began playing music together. <a href=""https://www.last.fm/music/Anvil"">Read more on Last.fm</a>",175873,2762578
Skizoo,metal,2023,"Savia, Sober, Skunk D.F.","SKIZOO is an emblematic spanish rock band.
Jorge Escobedo and Antonio Bernardini, former guitarists of Sôber, formed SKIZOO in 2004, with Morti (voice), Dani Pérez (drums) and, later on, Edu Fernandez (bass). 
Escobedo and Bernardini where part of Sôber, Morti sang with Fantástico Hombre Bala, Bushido and ExMundus. In 2008 Dani Perez and Edu Fernandez leave the group and are replaced by Iván Ramírez (Ebony Ark) and José Hurtado (Coilbox) 
The first singles from the album Skizoo <a href=""https://www.last.fm/music/Skizoo"">Read more on Last.fm</a>",30303,624404
Mammal,metal,2020,"Full Scale, Melodyssey, Sydonia","There are at least four artists that go by the name Mammal.

1) Mammal are an alternative metal band from Melbourne, Australia featuring Ezekiel Ox (vocals, formerly of Full Scale), Pete Williamson (guitar), Nick Adams (bass) and Zane Rosanoski (drums). They formed in 2006 and have quickly built up a strong following based on their debut self-titled EP and intense live shows. In 2007 they released their debut album ""Vol 1: The Aural Underground"", which was recorded live at Melbourne's Evelyn Hotel. <a href=""https://www.last.fm/music/Mammal"">Read more on Last.fm</a>",20335,409231
Candlemass,metal,2021,"Solitude Aeturnus, Saint Vitus, Trouble","Candlemass is a Swedish epic doom metal band established in Stockholm in 1984 by bassist, songwriter and bandleader Leif Edling and drummer Matz Ekström. The band had a defining influence on doom metal, and the genre itself is named after their debut album Epicus Doomicus Metallicus. Along with Pentagram, Saint Vitus and Trouble, Candlemass has been referred to as one of the ""big four of doom metal"".

After releasing five full-length albums and touring extensively throughout the 1980s and early 1990s <a href=""https://www.last.fm/music/Candlemass"">Read more on Last.fm</a>",345675,13674932
Warbringer,metal,2022,"Havok, Death Angel, Destruction","There are three artists by this name.

1) Warbringer is an American thrash metal band from Ventura, California formed in 2004. Current members consist of John Kevill as vocals, John Laux and Andrew Bennett on guitar, Andy Laux on bass, and Carlos Cruz behind the drums.  They have released six full length studio albums, the latest being ""Weapons of Tomorrow"" in 2020.  Along with their animated live performances and  lyrics detailing war, violence, and death <a href=""https://www.last.fm/music/Warbringer"">Read more on Last.fm</a>",119302,3684455
Jerk,metal,2023,"Static-X, Pitchshifter, Crossbreed","There is more than one band called JerK:

1. Jerk is an industrial metal/nu metal band from Sydney, Australia, comprised of Johnathan Devoy (vocals), Lamar Lowder (drums), Charles Cilia (guitar) and Leeno Dee (bass).

They released a self-titled 6 track EP in 2001, which led to an appearance at the long-running Metal For The Brain festival in Canberra in 2001, and in April 2002 were signed to Sony Records.

Their full-length debut album, When Pure Is Defiled, was released in 2003. <a href=""https://www.last.fm/music/Jerk"">Read more on Last.fm</a>",89721,610127
Lost Society,metal,2020,"Stam1na, Havok, Dust Bolt","Lost Society was founded in 2010 by guitarist and vocalist Samy Elbanna in Jyväskylä, Finland.

After several line-up changes, in the summer of 2011 the band reached it’s final form with Ossi Paananen on the drums, Arttu Lesonen on the guitar and Mirko Lehtinen on the bass.

The band recorded two demos during 2011-2012 and participated in a few band competitions, while also playing small shows in youth centers both in their hometown and elsewhere in Finland. <a href=""https://www.last.fm/music/Lost+Society"">Read more on Last.fm</a>",95444,2201305
Bleeding Through,metal,2021,"Unearth, It Dies Today, Darkest Hour","Bleeding Through is a metal band out of Orange County, California, United States and was formed in 1999.

Bleeding Through's successes in the past have been mainly built upon their Trustkill Records debut, ""This Is Love, This Is Murderous."" The album produced two music videos ( ""On Wings Of Lead"" and ""Love Lost In A Hail Of Gunfire"" ) with Spin Magazine calling them an ""Artist To Watch"", Revolver branding them part of ""The Future Of Metal"", multiple accolades from Metal Hammer and Kerrang, and the much love from Alternative Press. <a href=""https://www.last.fm/music/Bleeding+Through"">Read more on Last.fm</a>",363181,9789541
Theatre of Tragedy,metal,2022,"Tristania, The Sins of Thy Beloved, Liv Kristine","Theatre of Tragedy was a gothic metal band, originally assembled in 1993 in Stavanger, Norway by Hein Frode Hansen, Raymond István Rohonyi and Lorentz Aspen, together with Tommy Lindal, Pål Bjastad, and Liv Kristine.

Their earlier albums have provided a great deal of influence to the gothic metal genre. The band was one of the first ones who made use of contrasting vocals - male bass vocals and death growls and female soprano singing. 

On their first three albums (Theatre of Tragedy <a href=""https://www.last.fm/music/Theatre+of+Tragedy"">Read more on Last.fm</a>",403074,16206104
Seven Spires,metal,2023,"Unleash the Archers, Ad Infinitum, Visions of Atlantis","Seven Spires was conceived in Boston in 2013 in a bookstore by guitarist Jack Kosto and vocalist Adrienne Cowan. With the additions of old friends Chris Dovas and Peter de Reyna, a complete band was formed. Though young in countenance, the four were armed with highly specialised training from Berklee College of Music, as well as an insatiable drive to earn that which they hungered for.

In their early years, they shared bills with the likes of Arch Enemy <a href=""https://www.last.fm/music/Seven+Spires"">Read more on Last.fm</a>",24243,1306873
Any Given Day,metal,2020,"Annisokay, Bury Tomorrow, Light the Torch","Any Given Day is a German metalcore band formed in 2012 in Gelsenkirchen.

The band was formed in 2012 by singer Dennis Diehl, guitarists Andy Posdziech and Dennis ter Schmitten, bassist Michael Golinski and drummer Raphael Altmann who played in several bands before forming Any Given Day.

In October 2012 they recorded a three-track self-titled demo. All three songs were re-recorded on their debut album My Longest Way Home, which was released worldwide in September 2014 via Redfield Records. <a href=""https://www.last.fm/music/Any+Given+Day"">Read more on Last.fm</a>",94601,2035336
Ünloco,metal,2021,"The Blank Theory, 3rd Strike, No One","Ünloco was an alternative metal band hailing from Austin Texas, USA. The band was formed in 2000 by frontman Joey Duenas.

The band's first album Healing struggled to sell, and the band received little support from their label Maverick Records.

Ultimately, Maverick gave them a second chance and they recorded their second album Becoming i in 2003. This time, the label supported them and got them touring with big name bands such as Korn and Disturbed. <a href=""https://www.last.fm/music/%C3%9Cnloco"">Read more on Last.fm</a>",205908,1318392
Proletaryat,metal,2022,"Dezerter, Lipali, Illusion","Proletaryat is a Polish band founded in November 1987. They are famous in Poland thanks to their first two post-punk albums ""Proletariat"" & ""Proletaryat"" and for their performance at Jarocin Festival in 1989, where they managed to get 3 awards.
Today Proletaryat are:

* Tomasz ""Oley"" Olejnik - vocals
* Dariusz ""Kacper"" Kacprzak - bass
* Wiktor Daraszkiewicz - guitar
* Robert ""Mały"" Hajduk - drums

Discography:

    * Revolt (1989)
    * Proletariat (1991) <a href=""https://www.last.fm/music/Proletaryat"">Read more on Last.fm</a>",31717,1130317
Ignea,metal,2023,"Eleine, Delain, Ad Infinitum","IGNEA was started in Kyiv, Ukraine back in 2011 under name Parallax. Intentionally, it was the first Ukrainian band to play oriental metal. The band, however, didn't limit itself to strict boundaries of oriental metal, and included elements from symphonic, industrial, modern, progressive and other modern subgenres of metal. In 2013, the band entered Morton Studio, well-known rock and metal studio in Ukraine, to record its debut EP, titled Sputnik.  <a href=""https://www.last.fm/music/Ignea"">Read more on Last.fm</a>",47219,1001800
Release Hallucination,metal,2020,"Imperial Circus Dead Decadence, Ariabl'eyeS, Asriel","Release Hallucination is a Japanese duo creating progressive metal. 

Members: 
Emi Takimura (Vocals, Lyrics, Music, Design)
Kaoru Hirato (Guitar, Music, Arrangement, Mixing, Mastering)

Website <a href=""https://www.last.fm/music/Release+Hallucination"">Read more on Last.fm</a>",20130,583149
Abbath,metal,2021,"Immortal, 1349, Watain","A Norwegian black metal band formed by former Immortal vocalist Abbath Doom Occulta after his departure from that band, with bassist King (formerly of Gorgoroth) and (formerly) drummer Creature of Benighted. The band released its self-titled debut album, Abbath, in January 2016.

In April 2015, Metalhammer announced that Abbath Doom Occulta had recruited members to the band, specifically King Ov Hell from God Seed and drummer Creature to participate in the band. <a href=""https://www.last.fm/music/Abbath"">Read more on Last.fm</a>",67073,1416194
Behemoth,metal,2022,"Belphegor, Dimmu Borgir, Satyricon","There are multiple artists with the name Behemoth:

1. Behemoth is a Polish blackened death metal band from Gdańsk. Formed in 1991, the band is often credited with helping to shape the Polish extreme metal scene, alongside acts such as Vader, Decapitated, Vesania, and Hate. Initially rooted in traditional black metal, Behemoth later transitioned toward a blackened death metal style. They have released eleven full-length studio albums.

The band's <a href=""https://www.last.fm/music/Behemoth"">Read more on Last.fm</a>",605547,49341294
El Reno Renardo,metal,2023,"Gigatron, Gigatrón, Los Gandules","Spanish satiric metal band ""El Reno Renardo"" was formed by Zarigüeya on the summer of 2006. The original group was formed by Zarigüeya (vocals and guitar), Cabra Montesa (bass), and Urogallo The Powerhead (drums). 

Current Formation:
Aniceto Zarzalejo 'Zarigüeya' – Voice and guitar
Simón J. Hayber 'Mapache' or 'T-Map' – Bass
Luis Buitraguez Del Bosque 'Rebeco' – Batteried <a href=""https://www.last.fm/music/El+Reno+Renardo"">Read more on Last.fm</a>",13754,814007
Amaranthe,metal,2020,"Battle Beast, Beyond the Black, Metalite","Amaranthe is a Swedish/Danish band, originated from Gothenburg, Sweden, formed in 2008 that fuses melodic metal with pop melodies. Formed by Jake E (Dreamland, Dream Evil) and Olof Mörck (Dragonland, Nightrage), the project began taking shape, when singers Elize Ryd (toured with Kamelot) and Andreas Solvestrom (Cipher System, Within Y), signed on, as did drummer Morten Løwe Sørensen (The Cleansing, Koldborn, Mercenary). Bassist Johan Andreassen <a href=""https://www.last.fm/music/Amaranthe"">Read more on Last.fm</a>",341282,24341872
Dimebag Darrell,metal,2021,"Pantera, Damageplan, Black Label Society","Darrell Lance Abbott, also known as ""Diamond"" Darrell or ""Dimebag"" Darrell (August 20, 1966 - December 8, 2004) was an American guitarist. Best known as a founding member of the heavy metal bands Pantera and Damageplan, he also performed in the country music band Rebel Meets Rebel. Abbott frequently appeared in guitar magazines and in readers' polls, where he was often included in the top ten metal guitarist spots. In addition, he wrote a long-running Guitar World magazine column, which has been compiled in the book Riffer Madness. <a href=""https://www.last.fm/music/Dimebag+Darrell"">Read more on Last.fm</a>",25978,295630
Sentenced,metal,2022,"Poisonblack, Kotiteollisuus, Charon","Sentenced was a Finnish metal band that played melodic death metal in their early years before moving on to gothic metal. The band formed in 1989, in the town of Muhos, Finland, and broke up in 2005.

Sentenced started in 1989 as Deformity and changed their name to Sentenced in 1989, after a few line-up changes. The original line-up consisted of Miika Tenkula (lead guitar and vocals), Sami Lopakka (guitar), Vesa Ranta (drums), and Lari Kylmänen (bass). <a href=""https://www.last.fm/music/Sentenced"">Read more on Last.fm</a>",383522,22700856
Percival Schuttenbach,metal,2023,"Żywiołak, Laboratorium Pieśni, Percival","PERCIVAL SCHUTTENBACH, formed in Lubin, Poland in 1999, is a musical group which includes several projects. Projects vary mostly in instruments and repertoire.

Projects:
Percival Schuttenbach:
Founded in 1999 in Poland, play folk-metal music – a mix of Slavic culture and strong, heavy sounds. The main members of the band are charismatic two leaders: the cellist and singer Katarzyna Bromirska and the guitarist Mikołaj Rybacki, who – together with the rest of the band – create amazing, energetic shows. <a href=""https://www.last.fm/music/Percival+Schuttenbach"">Read more on Last.fm</a>",151762,3383715
Grand Cadaver,metal,2020,"Baest, Dark Tranquillity, Sulphur Aeon","Grand Cadaver was formed by five swedes in the early summer of 2020. Everyone has been involved in the Swedish extreme music scene since its birth, in the mid ’80s, and forward. From Thrash Metal to Stockholm Death Metal to Gothenburg Death Metal to Doom Metal and Progressive Metal. Grand Cadaver is meant to celebrate our past but also embrace where we are today. While also hanging out with friends that share the same love for the extreme!

The <a href=""https://www.last.fm/music/Grand+Cadaver"">Read more on Last.fm</a>",17186,240319
Bad Wolves,metal,2021,"Through Fire, Five Finger Death Punch, Silent Theory","Bad Wolves is a metal supergroup, composed of lead singer Daniel ""DL"" Laskiewicz (ex-guitarist of The Acacia Strain), guitarists Doc Coyle (ex-God Forbid) and Chris Cain (Bury Your Dead), drummer John Boecklin (ex-Devildriver) , and bassist Kyle Konkiel. 
Their original lead singer, Tommy Vext, was dismissed from the band in January 2021 on account of his political beliefs and accusations of violence against him. Their debut album ""Disobey"" was released on May 11 <a href=""https://www.last.fm/music/Bad+Wolves"">Read more on Last.fm</a>",344136,6237313
Leaves' Eyes,metal,2022,"Sirenia, Xandria, Liv Kristine","Leaves' Eyes is a symphonic metal band from Germany and Norway. Formed in 2003 by Liv Kristine, formerly the lead singer of Theatre of Tragedy, along with the entire line-up of Atrocity, the band has since released nine studio albums, a single, six EPs, one live album, and a DVD.

Most of Leaves' Eyes' lyrics, written by Liv Kristine until her departure in 2016, focus on Norse mythology and the Viking Age. The melodic vocals of Liv Kristine and her successor <a href=""https://www.last.fm/music/Leaves%27+Eyes"">Read more on Last.fm</a>",362223,12270139
DEATH DEVIL,metal,2023,"Houkago Tea Time, Sanada Asami, Ritsu Tainaka","DEATH DEVIL was an indie speed metal hailing from Japan from early 90's and a short reunion concert for the wedding reception of one classmember in 2010.
With the cult for obscure/indie metal bands such like X, Saver Tiger, or Tokyo Yankees and respect for the well know acts like: Anthem, Loudness or Ｂｏｗ Ｗｏｗ (mask and demon-styled white wig image for the band leader), but the most influental band must be one of the strongest screams from USA - speed/thrash Death Angel. <a href=""https://www.last.fm/music/DEATH+DEVIL"">Read more on Last.fm</a>",8049,139144
Caskets,metal,2020,"Awaken I Am, Nerv, Until i Wake","Caskets, formed in 2018 under the name Captives, are a British post-hardcore band from Leeds, England.

The band was founded by bassist Christopher McIntosh, who played rhythm guitar at the time, Benji Wilson (lead guitar) and bassist Lee Horner, who together left their previous project Faultlines to pursue new projects. The band was completed with James Lazenby (drums) and Matthew Flood (vocals). Flood had previously played guitar and sang in the pop punk band Silhouettes. <a href=""https://www.last.fm/music/Caskets"">Read more on Last.fm</a>",254854,7651679
Acid Drinkers,metal,2021,"Kat, Flapjack, Illusion","Acid Drinkers is a Thrash Metal/ Crossover band from Poland, founded in 1986.

The group dates back to September 1986. The very act of setting up the band took place an hour before Iron Maiden concert in Poznan, when Tomasz ""Titus"" Pukacki (vocal, bass guitar) met Robert ""Litza"" Friedrich (backing vocal, guitar) and they decided to sell the entrance tickets. The money they got was in no time spent on cheap Polish wine known locally as ""kwas"" (English <a href=""https://www.last.fm/music/Acid+Drinkers"">Read more on Last.fm</a>",94642,10149209
Alex Yarmak,metal,2022,"Blind8, Burned Time Machine, хейтспіч","Alex Yarmak is a rock/metal musician from Kyiv, Ukraine <a href=""https://www.last.fm/music/Alex+Yarmak"">Read more on Last.fm</a>",58936,748639
September Mourning,metal,2023,"Blame Me!, Butcher Babies, Forever Still","September Mourning is a heavy metal band, which incorporates a transmedia dark culture project created by Emily Lazar and Marc Silvestri. The band was formed by frontwoman, vocalist, and screamer, Emily Lazar in New York in 2009. The concept narrative created by Lazar and incorporated in the band and their performances, centers around the fictional story of a human-grim reaper hybrid named September, as she navigates the worlds of the living and the dead. <a href=""https://www.last.fm/music/September+Mourning"">Read more on Last.fm</a>",35184,481174
Fleddy Melculy,metal,2020,"Toxic Shock, Bliksem, Headless Hunter","Fleddy Melculy is a Belgian metal/hardcore band who debuted in January 2016 with the song TShirt van Metallica (eng: Metallica T-Shirt). After gaining popularity quite fast through Belgian news/entertainment websites they released their first EP Wat de Fok? (Belgian slang for WTF) in February 2016.

Frontman Jeroen Camerlynck previously fronted the rockband De Fanfaar who played several shows with Belgian comedian Urbanus. Urbanus himself also appears in some music videos by Fleddy Melculy. <a href=""https://www.last.fm/music/Fleddy+Melculy"">Read more on Last.fm</a>",10213,269430
Anathema,metal,2021,"Antimatter, Riverside, Katatonia","There is more than one artist with the name Anathema.

1) Anathema was a band from Liverpool, England, UK primarily known as one of the pioneering and leading death doom metal acts, incorporating growling, poetic lyrics and complex arrangements into the traditional doom riffage. Later in their career, beginning with ""Eternity"", they moved away from this sound into more melodic, atmospheric rock.

Anathema formed in 1990 as a doom metal band, initially under the name Pagan Angel. <a href=""https://www.last.fm/music/Anathema"">Read more on Last.fm</a>",706360,68816681
Velvet Revolver,metal,2022,"Slash's Snakepit, Slash, Stone Temple Pilots","Velvet Revolver was an American hard rock supergroup consisting of Guns N'Roses members Slash (lead guitar), Duff McKagan (bass, backing vocals) and Matt Sorum (drums, backing vocals), alongside Dave Kushner (rhythm guitar) formerly of punk band Wasted Youth, and Scott Weiland (lead vocalist) formerly of Stone Temple Pilots. The band formed in 2002 and was active until 2008, when Weiland left the band abruptly to rejoin Stone Temple Pilots.

In 2004, the band achieved commercial success with their debut album, Contraband. <a href=""https://www.last.fm/music/+noredirect/Velvet+Revolver"">Read more on Last.fm</a>",1149442,20259633
Uninvited,metal,2023,"shefu, Lleo, Sick Love","There are multiple bands with this name.

1. Uninvited is an alternative rock band from Glasgow, Scotland, consisting of Taylor Ray Dillon (Bass and vocals), Gillian Dhlakama (guitar and vocals), Bex Young (lead guitar), and Fiorenza Cocozza (drums and vocals).

2. UNINVITED is a metal band from Varaždin, Croatia. It was assembled in the summer of 2010 by Antoni Popčević and Dario Sambol. They took things seriously from the very beginning, therefore it didn't took long for them to find the rest of the crew. <a href=""https://www.last.fm/music/Uninvited"">Read more on Last.fm</a>",13687,113044
Flapjack,metal,2020,"Acid Drinkers, Illusion, Lipali","Polish groove metal/alternative metal band active since 1994. Original lineup: Litza (Acid Drinkers, 2TM2,3, Kazik Na Żywo) Ślimak (Acid Drinkers), Guzik (Ndingue, Homosapiens), Hrap-luck, Jahnz.  <a href=""https://www.last.fm/music/Flapjack"">Read more on Last.fm</a>",13947,678423
Samael,metal,2021,"The Kovenant, Rotting Christ, Moonspell","Samael is a Swiss industrial black metal band formed in 1987 in Sion, Switzerland.

Although much of their music from the mid-1990s onwards has incorporated electronic sounds which would best define their genre as industrial metal, Samael was originally founded as an early 2nd Wave black metal band.

Their first demos presented a slow, doomy style of thrash metal with raw vocals, similar to that of Celtic Frost. Some of the songs would be included on Worship Him (1991) and Blood Ritual (1992). <a href=""https://www.last.fm/music/Samael"">Read more on Last.fm</a>",249100,13609697
Massacration,metal,2022,"Matanza, Angra, Mamonas Assassinas","Massacration is a parody self-proclaimed ""greatest and most classic heavy metal band, the inspiration behind most heavy and glam metal bands since 1985, whose members' hairdos and posing influenced the whole heavy metal culture"". The classical line-up consists of Detonator (a castrato vocalist, real name Bruno Sutter), Blondie Hammet (lead guitar, real name Fausto Fanti), Jimmy ""The Hammer"" (drums, real name Felipe Torres), Headmaster (rhythm guitar, real name Adriano Pereira) and Metal Avenger (bass, real name Marco Antônio Silva). <a href=""https://www.last.fm/music/Massacration"">Read more on Last.fm</a>",99010,2444898
Ruoska,metal,2023,"Turmion Kätilöt, Die!, Heldmaschine","Ruoska (Finnish for ""whip"" or ""scourge"") is a Finnish band from a little town called Juva. They have been compared to the German band Rammstein in the era of ""Sehnsucht"". This comparison is often made with their single, ""Darmstadt"", from their ""Riisu"" album, most notably by Rammstein's own singer, Till Lindemann, in a Finnish magazine interview. One of the factors making them greatly stand out from those bands to those who listen to them, however, is singer Patrik Mennander's combination of low, growling speech and conventional singing. <a href=""https://www.last.fm/music/Ruoska"">Read more on Last.fm</a>",115618,4067345
Hozier,blues,2020,"Noah Kahan, Paris Paloma, Florence + the Machine","Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>",3116604,248846134
